Item,UNITED STATES,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
Exhibit: Salaries and wages,"229,862,001","4,194,385","1,515,581","3,343,240","1,855,064","27,788,543","3,553,624","4,287,819","2,267,018","8,677,339","5,008,399","2,563,142","1,041,185","8,488,668","3,742,390","2,301,969","3,174,710","3,736,596","4,262,552","760,447","4,724,830","5,010,065","5,974,110","4,924,638","2,252,581","3,661,593","879,718","2,076,389","1,579,819","947,324","9,891,720","2,256,305","16,348,779","8,084,597","816,227","7,883,170","2,976,703","3,901,453","7,802,801","1,093,981","3,639,952","843,292","3,695,776","14,102,858","2,449,264","733,895","6,215,539","6,254,115","1,441,006","4,203,579","633,251"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"1,739,303,201","24,892,739","10,115,914","30,857,509","15,658,192","246,659,361","22,547,367","23,491,372","7,151,941","77,543,853","41,166,551","10,702,719","7,717,823","63,373,639","30,511,583","16,558,941","14,968,812","25,662,244","33,946,744","8,171,059","34,029,826","46,443,177","56,653,904","34,283,510","18,642,936","26,865,659","6,137,669","8,460,595","10,845,375","6,601,654","58,536,128","16,101,771","156,202,016","45,932,844","4,125,958","68,071,276","19,517,639","22,387,184","73,354,637","7,495,870","27,590,685","3,698,335","26,370,615","101,920,390","14,293,669","5,069,432","39,989,854","39,689,815","10,561,575","32,649,254","5,081,586"
 General expenditure,"1,508,097,761","22,170,605","9,148,545","27,647,520","14,354,884","208,758,067","19,020,893","20,020,300","6,561,474","70,387,170","36,166,348","9,735,857","6,849,329","54,264,982","28,140,808","14,830,301","13,645,502","22,603,765","30,926,667","7,445,085","30,328,016","40,620,579","49,612,891","30,349,669","16,776,841","23,698,213","5,423,506","8,024,395","9,319,965","5,672,446","46,810,441","14,741,963","128,221,439","41,045,619","3,789,886","54,863,653","17,208,905","18,076,377","62,231,302","6,228,442","22,985,286","3,400,145","24,532,397","90,763,797","12,966,773","4,707,185","36,709,190","34,091,969","9,634,090","28,019,994","4,564,285"
    Intergovernmental expenditure,"478,530,574","6,720,814","1,487,649","10,320,506","4,392,340","94,872,980","5,912,545","4,193,874","1,172,083","19,703,095","10,415,395","137,771","2,037,507","14,585,898","7,976,702","4,142,960","4,214,475","4,700,971","6,022,791","1,335,469","8,509,003","8,840,769","19,519,271","11,188,797","5,111,703","5,743,498","1,318,649","1,981,940","3,860,236","1,451,976","10,927,571","4,363,063","52,820,634","13,152,908","805,351","18,080,744","4,391,706","5,640,993","17,826,902","1,067,849","5,719,235","679,868","6,516,598","26,089,474","3,050,173","1,340,755","11,260,089","9,143,766","2,131,100","9,881,119","1,769,009"
    Direct expenditure,"1,029,567,187","15,449,791","7,660,896","17,327,014","9,962,544","113,885,087","13,108,348","15,826,426","5,389,391","50,684,075","25,750,953","9,598,086","4,811,822","39,679,084","20,164,106","10,687,341","9,431,027","17,902,794","24,903,876","6,109,616","21,819,013","31,779,810","30,093,620","19,160,872","11,665,138","17,954,715","4,104,857","6,042,455","5,459,729","4,220,470","35,882,870","10,378,900","75,400,805","27,892,711","2,984,535","36,782,909","12,817,199","12,435,384","44,404,400","5,160,593","17,266,051","2,720,277","18,015,799","64,674,323","9,916,600","3,366,430","25,449,101","24,948,203","7,502,990","18,138,875","2,795,276"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  General expenditure, by function:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Education,"547,511,580","10,658,472","2,165,387","9,408,525","6,311,833","73,276,865","7,985,963","5,813,200","2,263,320","23,192,406","16,179,676","3,511,360","2,774,669","16,342,627","10,616,678","5,790,799","5,750,358","8,718,692","9,083,468","2,018,207","10,991,254","10,714,000","21,974,570","12,424,773","5,471,275","8,675,805","1,839,799","2,909,668","4,069,362","2,019,883","15,432,044","5,339,371","39,764,174","17,438,492","1,325,310","20,120,031","7,046,621","6,768,386","19,475,573","1,702,825","8,151,202","1,103,636","8,479,938","40,604,723","6,036,050","2,062,824","14,053,415","14,109,473","3,676,900","10,329,906","1,537,792"
    Public welfare,"411,662,728","4,582,199","1,477,255","7,927,027","3,771,732","60,191,685","4,236,218","5,621,038","1,451,463","18,063,299","9,644,769","1,602,375","1,614,703","17,167,067","8,034,079","3,904,781","3,167,907","6,198,814","5,828,886","2,492,721","7,118,659","12,682,783","13,332,357","9,045,789","4,405,435","6,231,774","1,065,604","2,099,052","1,580,454","1,544,997","12,420,936","3,558,863","44,763,366","10,591,140","773,278","16,113,757","4,821,034","4,311,257","19,822,978","2,230,969","5,474,835","811,709","8,664,226","23,048,973","2,203,414","1,253,623","7,354,674","7,612,755","2,565,426","6,524,417","656,176"
    Hospitals,"54,733,920","1,808,175","35,054","71,539","810,637","6,888,770","437,822","1,395,751","63,435","831,028","805,443","572,458","47,310","1,004,573","198,120","1,092,682","973,004","1,100,758","1,964,889","56,286","541,820","466,869","2,299,233","404,712","953,339","1,322,145","44,955","239,294","234,044","60,361","2,062,211","749,990","4,896,242","1,460,906","16,426","2,089,571","227,554","1,154,493","2,821,303","87,528","1,684,779","60,769","407,688","3,637,784","823,297","20,092","2,849,911","1,743,784","106,482","1,106,220","2,384"
    Health,"61,009,033","699,309","279,028","1,620,620","249,653","11,943,187","809,170","901,164","393,259","3,600,529","1,258,721","677,693","151,087","2,452,733","627,263","240,951","252,179","626,189","640,753","568,473","1,958,191","1,068,262","1,204,513","653,688","368,652","1,163,167","152,645","415,172","261,957","158,845","1,327,893","490,852","7,088,181","1,653,975","64,749","2,470,691","780,680","407,430","2,030,708","180,822","1,051,239","126,093","1,282,165","2,248,068","383,324","167,140","958,002","1,605,753","309,702","703,266","281,247"
    Highways,"107,584,368","1,373,098","1,315,648","2,367,086","915,510","12,173,649","1,281,596","795,191","496,382","7,285,603","2,287,471","407,711","696,062","4,510,194","1,967,658","1,381,730","1,213,980","2,481,003","2,132,077","478,343","2,510,419","2,245,666","2,742,463","2,231,342","1,284,377","2,034,235","606,818","631,028","609,250","440,079","2,736,419","895,994","4,380,808","3,253,678","458,616","3,215,512","1,472,367","1,528,591","6,570,331","201,869","1,064,541","429,629","1,668,715","7,915,817","1,061,364","324,868","3,146,902","2,924,464","1,015,587","1,901,463","521,164"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Police protection,"13,617,829","182,955","82,585","273,533","81,440","1,642,063","140,723","216,795","113,596","453,620","317,358","13,808","51,314","437,448","254,012","96,991","110,231","193,185","349,563","72,231","405,655","569,777","346,258","343,342","117,202","214,579","47,166","84,698","105,594","52,148","510,798","140,759","958,637","567,801","27,949","264,055","161,213","173,661","839,741","57,953","208,518","31,514","156,050","720,014","129,182","77,177","689,989","319,335","65,468","132,283","15,862"
    Correction,"49,880,748","525,281","243,961","1,023,693","361,537","8,829,940","996,266","723,346","280,710","2,770,179","1,571,961","219,070","244,504","1,244,230","676,633","291,406","361,648","527,311","773,076","141,982","1,366,211","1,332,960","1,846,681","536,760","369,248","754,740","168,127","219,278","367,241","112,265","1,496,976","376,627","3,135,187","1,324,484","61,368","1,668,729","616,933","720,504","1,744,264","199,394","514,479","110,268","768,711","3,565,217","332,828","120,328","1,547,571","1,205,895","241,996","1,084,127","164,617"
    Natural resources,"22,538,841","309,369","284,520","321,173","249,560","4,885,087","323,226","123,842","94,329","1,833,040","518,215","113,560","213,597","272,110","293,931","288,799","205,394","373,489","579,131","167,216","562,098","338,037","363,826","511,888","285,285","347,965","279,698","180,968","137,372","68,642","613,651","221,810","547,896","679,216","166,129","362,226","215,089","424,465","681,763","41,480","299,956","123,365","458,161","839,527","185,613","73,300","214,336","738,520","170,496","646,438","310,037"
    Parks and recreation,"6,408,121","50,268","17,274","132,563","46,533","483,692","79,099","60,090","54,763","195,516","209,191","78,920","41,137","276,560","71,753","61,112","37,074","121,487","371,160","11,159","269,711","238,203","88,249","192,704","39,960","37,236","14,950","28,868","46,373","16,713","502,611","91,671","583,040","278,930","25,730","107,442","99,929","103,461","288,133","7,664","120,343","42,124","148,163","130,316","65,910","14,370","148,721","139,378","67,572","35,926","34,369"
    Governmental administration,"53,497,612","576,755","574,841","767,263","591,373","8,862,959","869,746","1,116,120","483,562","2,389,468","815,307","486,718","360,140","1,219,357","608,666","554,993","459,166","840,386","929,882","325,779","1,243,982","1,666,967","973,142","857,460","327,420","541,561","362,540","204,921","300,560","237,721","1,861,067","528,382","5,875,815","1,177,769","122,952","2,108,862","539,815","888,704","2,503,561","362,174","1,094,646","169,363","788,765","1,751,072","712,868","156,325","1,234,502","785,458","412,403","673,364","200,990"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Interest on general debt,"44,838,072","328,836","310,066","490,912","193,767","5,650,752","827,293","1,265,952","269,560","1,635,634","598,122","441,026","165,181","2,867,051","967,653","391,988","334,469","503,054","903,661","255,386","1,046,312","3,627,100","1,309,763","496,677","238,668","1,047,122","209,308","107,999","203,422","381,127","2,053,045","392,772","3,789,714","676,360","164,425","1,440,693","461,086","453,490","1,948,384","419,869","590,974","136,008","214,413","1,189,733","275,837","181,054","965,200","1,039,159","255,121","1,060,901","61,973"
    Other and unallocable,"134,814,909","1,075,888","2,362,926","3,243,586","771,309","13,929,418","1,033,771","1,987,811","597,095","8,136,848","1,960,114","1,611,158","489,625","6,471,032","3,824,362","734,069","780,092","919,397","7,370,121","857,302","2,313,704","5,669,955","3,131,836","2,650,534","2,915,980","1,327,884","631,896","903,449","1,404,336","579,665","5,792,790","1,954,872","12,438,379","1,942,868","582,954","4,902,084","766,584","1,141,935","3,504,563","735,895","2,729,774","255,667","1,495,402","5,112,553","757,086","256,084","3,545,967","1,867,995","746,937","3,821,683","777,674"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Utility expenditure,"24,578,412", -   ,"82,021","31,070", -   ,"5,225,229","27,174","405,423","123,572","85,796","33,989",924, -   ,209, -   , -   , -   , -   ,"5,410",286,"714,449","234,982",67,"65,188", -   , -   ,25, -   ,"69,913","10,955","2,750,057", -   ,"11,950,420","124,507", -   , -   ,"418,599","13,996",14,"139,494","1,832,136", -   , -   ,"140,163","1,390","29,674","1,430","39,973","12,836","7,041", -   
  Liquor stores expenditure,"4,944,650","235,461", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"86,239", -   , -   ,"134,862", -   , -   , -   ,1, -   , -   ,"622,036", -   ,"201,579", -   ,"59,130", -   , -   ,"395,616", -   , -   , -   , -   , -   ,"444,931", -   ,"202,752","1,303,857", -   , -   , -   , -   , -   ,"156,925","43,455","444,552","480,450","63,020", -   ,"69,784"
  Insurance trust expenditure,"201,682,378","2,486,673","885,348","3,178,919","1,303,308","32,676,065","3,499,300","3,065,649","466,895","7,070,887","4,966,214","965,938","782,255","9,108,448","2,370,775","1,593,778","1,323,310","3,058,479","3,014,667","725,687","2,987,361","5,587,616","6,418,910","3,868,653","1,664,516","3,167,446","655,008","436,200","1,455,497","522,637","8,975,630","1,359,808","16,030,157","4,762,718","336,072","12,762,692","1,890,135","4,094,059","9,819,464","1,127,934","2,773,263","298,190","1,838,218","11,016,430","1,168,581","289,118","2,834,682","5,077,423","851,629","4,622,219","447,517"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt at end of fiscal year,"1,006,121,415","8,472,097","6,491,713","10,519,389","4,352,951","121,929,578","15,879,387","27,554,245","5,722,757","44,076,196","12,024,583","6,296,492","3,379,159","58,436,829","19,916,264","7,235,998","5,836,651","12,209,861","16,387,658","5,297,682","23,120,309","71,892,262","30,048,498","9,538,669","6,331,031","19,740,684","4,660,223","2,719,139","4,248,696","7,908,632","52,785,000","7,763,822","114,240,227","19,605,315","1,951,959","27,306,103","9,129,789","11,597,440","40,100,004","8,926,977","15,212,910","3,408,138","4,366,410","33,587,699","5,907,105","3,371,915","21,293,517","23,524,009","6,365,585","22,107,148","1,342,710"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and security holdings,"3,758,006,530","38,053,214","62,377,932","47,226,651","24,431,316","540,349,584","68,695,707","43,739,449","14,039,489","186,000,774","75,648,388","17,234,080","17,140,704","132,013,893","55,119,114","34,409,200","18,477,838","44,584,567","59,438,420","17,164,883","59,309,195","97,948,823","86,900,927","61,290,809","32,295,824","69,352,772","16,176,597","13,974,630","26,673,275","12,083,395","117,118,748","46,779,111","324,348,229","100,176,883","11,839,776","202,396,973","37,066,174","71,905,837","152,815,652","15,635,551","40,977,111","12,286,042","38,486,619","262,500,473","30,170,610","7,082,025","86,876,125","95,856,465","16,357,378","95,053,879","20,125,419"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Within insurance trust revenue, net earnings of state retirement systems  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"is a calculated statistic (the item code in the data file is X08), and thus can be  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive or negative. Net earnings is the sum of earnings on investments plus gains on  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investments minus losses on investments. The change made in 2002 for asset valuation  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from book to market value in accordance with Statement 34 of the Governmental ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standards Board is reflected in the calculated statistics. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: 2008 Annual Survey of State Government Finances. Data users who create their own estimates using,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data from this report should cite the U.S. Census Bureau as the source of the original data only. The data in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this table are based on information from public records and contain no confidential data. Although the data in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"this table come from a census of governmental units and are not subject to sampling error, the census results",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"do contain nonsampling error. Additional information on nonsampling error, response rates, and definitions may be found at:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www2.census.gov/govs/state/08_methodology.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Created: November 15, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised: January 23, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
